street_edge_id,region_id,x1,y1,x2,y2,geom
3195,"LOS MORENO",-102.0226975,20.3203677,-102.0224423,20.3202322,0102000020E6100000040000000223D4B16F8159C04A20CABCFA513440CC20E3F6708159C0EA9B8FC6FC513440257A19C5728159C0C351A85D02523440DD0C37E0738159C0DA311A9E03523440
3196,"PEDREGAL SAN JOSÉ",-102.0297689,20.3226944,-102.03022610744951,20.322905501476452,0102000020E610000003000000C9BE7B39EF8159C0338A58EFA952344044D0E2D6EE8159C01BA3D00DA852344006FCD0BBE78159C0339AA6199C523440
3197,"PEDREGAL SAN JOSÉ",-102.0264827,20.3215452,-102.0266936,20.3216683,0102000020E610000002000000CDC01259B58159C0F0A88CDA585234403A9A7EE4B18159C08F2F46C950523440
3198,"PEDREGAL SAN JOSÉ",-102.0266936,20.3216683,-102.0269902,20.3219052,0102000020E61000000200000000941A35BA8159C08F69126168523440CDC01259B58159C0F0A88CDA58523440
3199,"PEDREGAL SAN JOSÉ",-102.0273338,20.3221313,-102.0277317,20.3223035,0102000020E61000000200000000242E5BC68159C0E7E26F7B82523440D34444D6BF8159C09984663277523440
3200,"PEDREGAL SAN JOSÉ",-102.0269902,20.3219052,-102.0273338,20.3221313,0102000020E610000002000000D34444D6BF8159C0998466327752344000941A35BA8159C08F69126168523440
3201,"PEDREGAL SAN JOSÉ",-102.0289953,20.3226168,-102.0297689,20.3226944,0102000020E61000000200000006FCD0BBE78159C0339AA6199C523440374F1A0FDB8159C0E223BD0397523440
3202,"PEDREGAL SAN JOSÉ",-102.0284013,20.3225087,-102.0289953,20.3226168,0102000020E610000002000000374F1A0FDB8159C0E223BD03975234407DAAAF53D18159C0EC2C1FEE8F523440
3203,"PEDREGAL SAN JOSÉ",-102.0277317,20.3223035,-102.0284013,20.3225087,0102000020E6100000020000007DAAAF53D18159C0EC2C1FEE8F52344000242E5BC68159C0E7E26F7B82523440
3204,"EL TIGRE",-102.0188754,20.3127052,-102.0194075,20.3144333,0102000020E6100000050000000473F4F83D8159C0FB4564B37E503440F508DA89378159C0B6042A2D6D5034408584DED1358159C0CF7701405F5034400FCA45C6348159C0C0B2D2A414503440BB6C2A41358159C0054AAF720D503440
3205,"EL TIGRE",-102.0199759,20.315185,-102.0193252,20.3146967,0102000020E610000003000000467FC39F3C8159C0BCA882F68F503440D2DF4BE1418159C0B806B64AB0503440534DFF48478159C09430D3F6AF503440
3206,DELTA,-102.0152306,20.3098301,-102.01562,20.3098145,0102000020E610000002000000774A07EBFF8059C09C53C900504F34408039C489F98059C000D18206514F3440
3207,"LOS AYALA",-102.0134667,20.3081115,-102.0143855864367,20.308400776766973,0102000020E61000000E000000E2D185B1EB8059C07046725AF34E34407CF2B050EB8059C025975A4AF14E3440DBE67C67EA8059C057276728EE4E34404D463AA8E98059C0CE2FEF16ED4E3440BEBC00FBE88059C0ECEC759CEC4E3440E8555348E88059C0E0867368EC4E344012D89C83E78059C08DE43CADEC4E34403E384481E38059C0F12DAC1BEF4E344003DE1335E28059C0564F41D9EF4E34404B06DBE3E08059C0266F8099EF4E3440526D2695DF8059C0CD57C9C7EE4E3440F93E66B1DE8059C0E09AE040ED4E344088580E3EDE8059C0A52C431CEB4E344071056FA3DC8059C081053065E04E3440
3208,DELTA,-102.0143855864367,20.308400776766973,-102.0144661,20.3088998,0102000020E610000008000000A5993803ED8059C0AEBDAA0E144F3440B17504CBEC8059C0BBFBD291124F3440E6E786A6EC8059C0B06DF6AC104F3440ABFDE77AEC8059C04C101A660D4F344051E3946FEC8059C073993F4BFC4E34402E3BC43FEC8059C01028F62BF84E3440C3B57F0AEC8059C0779DB23FF54E3440E2D185B1EB8059C07046725AF34E3440
